,PLN-MM/YY,Sales_Doc.,Item,V,Loaded_line,New_Plan,Sold_to_party,Country_Key,Destination,Material,CUST_THICKNESS,CUST_WIDTH,KS_GRADE01,ZINC01,Remain_GRF,Destination.1,Creation,CBE$,BM$,Demanded_Month,Plan_Month,order_item_type
0,202310,30079276,20,3007927620,CR,2024 Jan,الشركة الصينية العامة للهندسة المعم,Egypt,Local,CRCF,3.0,1250.0,DC01,,6.0,Corporate,CPT,4155.0,2938.0,Oct,Jan,Small Item
1,202401,30081591,10,3008159110,PP,2024 Jan,العربى للاستيراد والتصدير,Egypt,Local,POCF,0.4,1250.0,DX51D,80,20.0,Service Center,EXW,3557.0,2515.0,Jan,Jan,Small Item
2,202401,30081591,20,3008159120,PP,2024 Jan,العربى للاستيراد والتصدير,Egypt,Local,POCF,0.4,1250.0,DX51D,80,20.0,Service Center,EXW,3557.0,2515.0,Jan,Jan,Small Item
3,202401,30081591,30,3008159130,PP,2024 Jan,العربى للاستيراد والتصدير,Egypt,Local,POCF,,1250.0,DX51D,120,40.0,Service Center,EXW,3546.0,2508.0,Jan,Jan,Small Item
4,202401,30081591,40,3008159140,PP,2024 Jan,العربى للاستيراد والتصدير,Egypt,Local,POCF,0.5,1250.0,DX51D,180,40.0,Service Center,EXW,3640.0,2574.0,Jan,Jan,Small Item
5,202401,30081591,50,3008159150,PP,2024 Jan,العربى للاستيراد والتصدير,Egypt,Local,POCF,0.5,1250.0,DX51D,180,40.0,,EXW,3640.0,2574.0,Jan,Jan,Small Item
6,202309,30078038,10,3007803810,PP,2024 Jan,العربى للصناعات الهندسیة,Egypt,Local,POSF,0.4,716.0,DX52D,120,1.9,,EXW,6110.0,4320.0,Sep,Jan,Small Item
7,202309,30078038,20,3007803820,PP,2024 Jan,العربى للصناعات الهندسیة,Egypt,Local,POSF,0.4,699.8,DX52D,120,1.7,,EXW,6110.0,4320.0,Sep,Jan,Small Item
8,202309,30078038,30,3007803830,PP,2024 Jan,العربى للصناعات الهندسیة,Egypt,Local,POSF,0.4,699.8,DX52D,120,1.7,Large Corporate,EXW,6110.0,4320.0,Sep,Jan,Small Item
9,202308,35005563,80,3500556380,GI,2024 Jan,GEOMETAL LIMITED.,Greece,Export,GCCF,1.7,1250.0,DX51D,100,11.16,Europe,FOB,2718.0,2718.0,Aug,Jan,Small Item
10,202308,35005563,90,3500556390,GI,2024 Jan,GEOMETAL LIMITED.,Greece,Export,GHCF,2.0,1000.0,DX51D,100,25.0,Europe,FOB,2682.0,2682.0,Aug,Jan,Small Item
11,202308,35005563,70,3500556370,GI,2024 Jan,GEOMETAL LIMITED.,Greece,Export,GCCF,1.65,1250.0,DX51D,100,98.77,Europe,FOB,2718.0,2718.0,Aug,Jan,Medium Item
12,202308,35005563,30,3500556330,GI,2024 Jan,GEOMETAL LIMITED.,Greece,Export,GCCF,1.0,1000.0,DX51D,140,15.99,,FOB,2844.0,2844.0,Aug,Jan,Small Item
13,202312,35005691,10,3500569110,GI,2024 Jan,Kens Metal Industries Ltd,Kenya,Export,GCRF,0.35,126.0,DX51D,100,112.94,,CFR,3708.0,3708.0,Dec,Jan,Medium Item
14,202401,30079565,10,3007956510,GI,2024 Jan,باور ماركت,Egypt,Local,GCCF,1.0,1250.0,DX53D,80,200.0,,CPT,3059.0,2163.0,Jan,Jan,Large Item
15,202401,30079565,20,3007956520,GI,2024 Jan,باور ماركت,Egypt,Local,GCCF,1.2,,DX53D,80,30.0,,CPT,3059.0,2163.0,Jan,Jan,Small Item
16,202401,30079565,30,3007956530,GI,2024 Jan,باور ماركت,Egypt,Local,GCCF,1.0,1250.0,DX53D,275,30.0,,CPT,3417.0,,Jan,Jan,Small Item
17,202302,30070095,90,3007009590,CR,2024 Jan,الهندسیة لانتاج الاجهزة,Egypt,Local,CRRF,0.6,470.0,DC04EK,,16.01,,CPT,4362.0,3085.0,Feb,Jan,Small Item
18,202302,30070095,120,30070095120,GI,2024 Jan,الهندسیة لانتاج الاجهزة,Egypt,Local,GCNF,0.6,735.0,DX51D,60,35.325,,CPT,4518.0,3194.0,Feb,Jan,Small Item
19,202311,30079992,10,3007999210,GI,2024 Jan,كونستيل للصناعات الهندسيه,Egypt,Local,GHCF,,1250.0,DX51D,180,130.0,Corporate,EXW,3974.0,2810.0,Nov,Jan,Medium Item
20,202308,30077010,20,3007701020,GI,2024 Jan,ايه بيلد ايجيبت للمقاولات,Egypt,Local,GCGF,1.0,1250.0,DX51D,120,19.47,Projects,EXW,3777.0,2671.0,Aug,Jan,Small Item
21,202302,30068426,30,3006842630,GI,2024 Jan,شركة ايفرست مصر للصناعة,Egypt,Local,GCCF,0.7,1250.0,DX51D,80,39.35,Corporate,CPT,4143.0,2930.0,Feb,Jan,Small Item
22,202302,30068426,10,3006842610,GI,2024 Jan,شركة ايفرست مصر للصناعة,Egypt,Local,GCCF,1.8,1220.0,DX51D,80,19.03,Corporate,CPT,4024.0,2845.0,Feb,Jan,Small Item
23,202401,35005703,10,3500570310,CR,2024 Jan,Marcegaglia Poland Sp. z o.o.,Poland,Export,CRCF,0.37,1250.0,DC01,,82.41,Europe,CFR,2581.0,2581.0,Jan,Jan,Medium Item
